Age,Age levels,BusinessTravel,Department,JobRole,Job Level,Satisfication,Consistency,Managers cosnsistency,Experience,Salary Range (K),EducationField,Gender,Distance to Home,OverTime,WLB,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,DailyRate,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRate,JobInvolvement,JobLevel,MonthlyRate
34,thirteenth,Non-Travel,Sales,Sales Executive,Level 2,Low,0 to 5,0 to 5,Experienced,5 to 10,Marketing,Male,Close,Yes,Not Balanced,"$5,304",8,13,3,1362,3,9,5,2,0,4,67,4,2,4652
55,fifteenth,Travel Rarely,Research & Dev.,Manager,Level 4,Miduem,0 to 5,0 to 5,Expert,15 to 20,Life Sciences,Female,Very Close,Yes,Balanced,"$16,659",2,13,2,1311,3,30,5,4,1,2,97,3,4,23258
24,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,High,0 to 5,0 to 5,Experienced,1 to 5,Marketing,Female,Very Close,Yes,Balanced,"$4,260",1,12,2,1371,3,5,5,2,0,3,77,3,2,5915
30,thirteenth,Travel Rarely,Sales,Sales Representative,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Technical Degree,Male,Very Close,No,Balanced,"$2,476",1,18,3,202,3,1,1,0,0,0,72,3,1,17434
26,twenteth,Travel Frequently,Research & Dev.,Research Scientist,Level 1,Miduem,6 to 10,0 to 5,Experienced,1 to 5,Technical Degree,Male,Very Close,No,Balanced,"$3,102",0,22,2,575,4,7,6,4,0,4,73,3,1,6582
22,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Low,0 to 5,0 to 5,Intermediate,1 to 5,Medical,Female,Close,No,Balanced,"$2,244",1,13,1,253,3,2,2,1,1,2,43,3,1,24440
36,thirteenth,Travel Rarely,Sales,Sales Executive,Level 3,Miduem,6 to 10,0 to 5,Advanced,5 to 10,Medical,Male,Very Close,No,Balanced,"$7,596",1,13,2,164,3,10,10,9,9,0,61,2,3,3809
30,thirteenth,Travel Frequently,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Intermediate,1 to 5,Technical Degree,Male,Very Close,Yes,Balanced,"$2,285",9,23,4,464,4,3,1,0,0,0,40,3,1,3427
37,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,11 to 20,11 to 20,Advanced,1 to 5,Life Sciences,Female,Close,No,Not Balanced,"$3,034",1,12,2,1107,3,18,18,7,12,17,95,3,1,26914
40,fourteenth,Travel Rarely,Sales,Sales Executive,Level 2,High,0 to 5,0 to 5,Experienced,5 to 10,Marketing,Female,Very Close,No,Balanced,"$5,715",7,12,5,759,3,8,5,4,1,3,46,3,2,22553
42,fourteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$2,576",3,16,5,201,3,8,5,2,1,2,95,3,1,20490
37,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Miduem,0 to 5,0 to 5,Advanced,1 to 5,Life Sciences,Male,Very Close,Yes,Not Balanced,"$4,197",2,12,2,1305,3,18,1,0,0,1,49,3,2,21123
43,fourteenth,Travel Rarely,Research & Dev.,Research Director,Level 4,Low,21 to 30,6 to 10,Expert,10 to 15,Life Sciences,Male,Close,No,Balanced,"$14,336",1,11,3,982,3,25,25,10,3,9,59,2,4,4345
40,fourteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,Miduem,0 to 5,0 to 5,Expert,1 to 5,Medical,Female,Very Close,No,Balanced,"$3,448",6,22,3,555,4,20,1,0,0,0,78,2,2,13436
54,fifteenth,Travel Rarely,Research & Dev.,Research Director,Level 5,Low,0 to 5,0 to 5,Expert,15 to 20,Medical,Male,Very Close,No,Not Balanced,"$19,406",4,11,4,821,3,24,4,2,1,2,86,3,5,8509
34,thirteenth,Non-Travel,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,5 to 10,Marketing,Female,Very Close,No,Balanced,"$6,538",9,15,3,1381,3,6,3,2,1,2,72,3,2,12740
31,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Miduem,11 to 20,11 to 20,Advanced,1 to 5,Medical,Female,Very Close,No,Not Balanced,"$4,306",1,12,5,480,3,13,13,10,3,12,31,3,2,4156
43,fourteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Far,No,Balanced,"$2,258",7,20,1,313,4,8,3,2,1,2,61,3,1,15238
43,fourteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 2,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Other,Female,Very Close,Yes,Balanced,"$4,522",4,14,3,1473,3,8,5,2,0,2,74,3,2,2227
25,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,Yes,Balanced,"$4,487",1,11,3,891,3,5,5,4,1,3,99,2,2,12090
37,thirteenth,Non-Travel,Research & Dev.,Research Scientist,Level 2,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Medical,Female,Far,Yes,Balanced,"$4,449",3,15,2,1063,3,15,13,11,10,7,72,3,2,23866
31,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$2,218",1,12,3,329,3,4,4,2,3,2,98,2,1,16193
39,thirteenth,Travel Frequently,Research & Dev.,Manager,Level 5,Miduem,21 to 30,6 to 10,Expert,15 to 20,Life Sciences,Male,Very Close,Yes,Balanced,"$19,197",1,14,3,1218,3,21,21,8,1,6,52,3,5,8213
56,fifteenth,Travel Frequently,Sales,Sales Executive,Level 4,Miduem,6 to 10,6 to 10,Expert,10 to 15,Life Sciences,Female,Very Close,No,Not Balanced,"$13,212",9,11,0,906,3,36,7,7,7,7,86,4,4,18256
30,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,5 to 10,Technical Degree,Female,Close,No,Balanced,"$6,577",0,11,6,1082,3,6,5,4,4,4,83,3,2,19558
41,fourteenth,Travel Rarely,Sales,Sales Executive,Level 3,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Marketing,Male,Very Close,No,Balanced,"$8,392",1,16,2,645,3,10,10,7,0,7,49,4,3,19566
28,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,Miduem,6 to 10,6 to 10,Advanced,1 to 5,Medical,Male,Close,No,Balanced,"$4,558",1,12,2,1300,3,10,10,0,1,8,79,3,2,13535
25,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$4,031",5,13,5,688,3,6,2,2,0,2,91,3,1,9396
52,fifteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 3,High,0 to 5,0 to 5,Expert,5 to 10,Medical,Male,Very Close,Yes,Balanced,"$7,969",2,14,4,319,3,28,5,4,0,4,39,2,3,19609
45,fourteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Very Close,No,Not Balanced,"$2,654",3,21,3,192,4,8,2,2,0,2,69,3,1,9655
52,fifteenth,Travel Rarely,Research & Dev.,Manager,Level 4,High,0 to 5,0 to 5,Expert,15 to 20,Life Sciences,Female,Very Close,No,Not Balanced,"$16,555",2,13,2,1490,3,31,5,2,1,4,30,3,4,10310
42,fourteenth,Travel Frequently,Research & Dev.,Research Scientist,Level 2,Low,0 to 5,0 to 5,Advanced,1 to 5,Life Sciences,Female,Far,No,Balanced,"$4,556",2,11,3,532,3,19,5,4,0,2,92,3,2,12932
30,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Life Sciences,Female,Very Close,No,Balanced,"$6,091",2,20,2,317,4,11,5,4,0,2,43,1,2,24793
60,fifteenth,Travel Rarely,Research & Dev.,Manager,Level 5,Low,21 to 30,6 to 10,Expert,15 to 20,Life Sciences,Female,Very Close,No,Not Balanced,"$19,566",5,11,5,422,3,33,29,8,11,10,41,3,5,3854
46,fourteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Miduem,6 to 10,6 to 10,Advanced,1 to 5,Medical,Female,Close,No,Not Balanced,"$4,810",2,14,5,1485,3,19,10,7,0,8,87,3,2,26314
42,fourteenth,Travel Frequently,Research & Dev.,Healthcare Representative,Level 2,High,6 to 10,0 to 5,Experienced,1 to 5,Technical Degree,Female,Far,No,Balanced,"$4,523",0,11,4,1368,3,7,6,5,0,4,88,2,2,4386
24,twenteth,Travel Rarely,Sales,Sales Representative,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Technical Degree,Female,Very Close,Yes,Balanced,"$3,202",1,16,4,1448,3,6,5,3,1,4,62,3,1,21972
34,thirteenth,Travel Frequently,Sales,Sales Representative,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Marketing,Female,Very Close,No,Not Balanced,"$2,351",0,16,3,296,3,3,2,2,1,0,33,1,1,12253
38,thirteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Very Close,Yes,Balanced,"$1,702",1,23,3,1490,4,1,1,0,0,0,42,3,1,12106
40,fourteenth,Travel Rarely,Sales,Manager,Level 5,Miduem,11 to 20,11 to 20,Expert,15 to 20,Life Sciences,Female,Very Close,No,Balanced,"$18,041",0,14,2,1398,3,21,20,15,1,12,79,3,5,13022
26,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Low,0 to 5,0 to 5,Intermediate,1 to 5,Life Sciences,Female,Far,No,Not Balanced,"$2,886",1,22,3,1349,4,3,3,2,0,2,90,3,1,3032
30,thirteenth,Non-Travel,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Very Close,No,Not Balanced,"$2,097",4,15,3,1400,3,9,5,3,1,4,53,3,1,16734
29,twenteth,Travel Rarely,Research & Dev.,Research Director,Level 3,Miduem,6 to 10,6 to 10,Advanced,10 to 15,Medical,Male,Very Close,No,Balanced,"$11,935",1,18,2,986,3,10,10,2,0,7,93,2,3,21526
29,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Technical Degree,Female,Far,No,Balanced,"$2,546",5,16,2,408,3,6,2,2,1,1,71,2,1,18300
19,twenteth,Travel Rarely,HR,Human Resources,Level 1,Low,0 to 5,0 to 5,Entry,1 to 5,Technical Degree,Male,Very Close,No,Balanced,"$2,564",1,12,3,489,3,1,1,0,0,0,52,2,1,18437
30,thirteenth,Non-Travel,Sales,Sales Executive,Level 3,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Other,Female,Far,No,Balanced,"$8,412",0,11,3,1398,3,10,9,8,7,8,69,3,3,2890
57,fifteenth,Travel Rarely,Sales,Manager,Level 4,Low,0 to 5,0 to 5,Expert,10 to 15,Marketing,Male,Far,No,Not Balanced,"$14,118",3,12,3,210,3,32,1,0,0,0,56,2,4,22102
50,fifteenth,Travel Rarely,Research & Dev.,Manager,Level 4,Miduem,21 to 30,6 to 10,Expert,15 to 20,Life Sciences,Male,Far,No,Balanced,"$17,046",0,15,2,1099,3,28,27,10,15,7,88,2,4,9314
30,thirteenth,Non-Travel,Research & Dev.,Laboratory Technician,Level 1,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Medical,Female,Very Close,No,Not Balanced,"$2,564",0,14,2,1116,3,12,11,7,6,7,49,3,1,7181
60,fifteenth,Travel Frequently,Sales,Sales Executive,Level 3,Miduem,11 to 20,11 to 20,Expert,10 to 15,Marketing,Female,Far,No,Balanced,"$10,266",4,19,5,1499,3,22,18,13,13,11,80,2,3,2845
47,fourteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Low,0 to 5,0 to 5,Expert,5 to 10,Medical,Female,Very Close,No,Balanced,"$5,070",5,13,2,983,3,20,5,0,0,4,65,3,2,7389
46,fourteenth,Travel Rarely,Research & Dev.,Research Director,Level 4,Low,0 to 5,0 to 5,Expert,15 to 20,Life Sciences,Male,Very Close,No,Not Balanced,"$17,861",6,13,2,1009,3,26,3,2,0,1,51,3,4,2288
35,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Far,No,Balanced,"$4,230",0,15,2,144,3,6,5,4,4,3,46,1,1,19225
54,fifteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,Miduem,0 to 5,0 to 5,Advanced,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$3,780",7,11,3,548,3,19,1,0,0,0,42,3,2,23428
34,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,6 to 10,6 to 10,Advanced,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$2,768",3,12,3,1303,3,14,7,3,5,7,62,2,1,8416
46,fourteenth,Travel Rarely,Sales,Sales Executive,Level 3,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Marketing,Female,Very Close,Yes,Balanced,"$9,071",2,19,3,1125,3,15,3,2,1,2,94,2,3,11563
31,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 3,Miduem,11 to 20,6 to 10,Advanced,10 to 15,Life Sciences,Male,Very Close,No,Balanced,"$10,648",1,25,6,1274,4,13,13,8,0,8,33,3,3,14394
33,thirteenth,Travel Rarely,Research & Dev.,Manager,Level 3,Miduem,6 to 10,6 to 10,Advanced,10 to 15,Medical,Male,Close,Yes,Balanced,"$13,610",7,12,2,1277,3,15,7,6,7,7,56,3,3,24619
33,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$3,408",7,13,2,587,3,8,4,3,1,3,38,1,1,6705
30,thirteenth,Travel Rarely,Sales,Sales Representative,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Marketing,Male,Very Close,No,Balanced,"$2,983",0,14,3,413,3,4,3,2,1,2,57,3,1,18398
35,thirteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 3,High,6 to 10,0 to 5,Advanced,5 to 10,Life Sciences,Male,Close,Yes,Balanced,"$7,632",4,12,2,1276,3,10,8,7,0,0,72,3,3,14295
31,thirteenth,Travel Frequently,Research & Dev.,Healthcare Representative,Level 3,Low,0 to 5,0 to 5,Advanced,5 to 10,Life Sciences,Male,Far,No,Balanced,"$9,824",3,12,2,534,3,12,1,0,0,0,66,3,3,22908
34,thirteenth,Travel Frequently,HR,Human Resources,Level 3,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Human Resources,Female,Far,Yes,Balanced,"$9,950",9,15,2,988,3,11,3,2,0,2,43,3,3,11533
42,fourteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Other,Male,Very Close,No,Balanced,"$2,093",4,17,4,1474,3,8,2,2,2,0,97,3,1,9260
36,thirteenth,Non-Travel,Sales,Sales Executive,Level 3,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Medical,Male,Very Close,No,Not Balanced,"$9,980",1,14,3,635,3,10,10,3,9,7,32,3,3,15318
22,twenteth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Intermediate,1 to 5,Technical Degree,Male,Very Close,No,Balanced,"$3,894",5,16,3,1368,3,4,2,2,1,2,99,2,1,9129
48,fourteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,6 to 10,6 to 10,Advanced,1 to 5,Marketing,Female,Very Close,No,Balanced,"$4,051",2,14,2,163,3,14,9,7,6,7,37,3,2,19658
55,fifteenth,Travel Rarely,Sales,Manager,Level 4,Low,6 to 10,6 to 10,Expert,15 to 20,Life Sciences,Female,Close,No,Balanced,"$16,835",3,23,2,1117,4,37,10,9,7,7,83,3,4,9873
41,fourteenth,Non-Travel,Sales,Sales Executive,Level 2,High,11 to 20,6 to 10,Advanced,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$6,230",7,14,3,267,3,16,14,3,1,10,56,3,2,13430
35,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Marketing,Male,Very Close,No,Balanced,"$4,717",9,11,2,619,3,15,11,9,6,9,85,3,2,18659
40,fourteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 4,Miduem,11 to 20,11 to 20,Expert,10 to 15,Life Sciences,Female,Very Close,No,Balanced,"$13,237",7,15,3,302,3,22,20,6,5,13,75,3,4,20364
39,thirteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,Miduem,6 to 10,6 to 10,Experienced,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$3,755",1,11,3,443,3,8,8,3,0,7,48,3,1,17872
31,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,6 to 10,0 to 5,Advanced,5 to 10,Life Sciences,Male,Very Close,Yes,Balanced,"$6,582",4,13,2,828,3,10,6,5,0,5,77,3,2,8346
42,fourteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 3,High,6 to 10,6 to 10,Advanced,5 to 10,Medical,Male,Far,Yes,Not Balanced,"$7,406",1,21,5,319,4,10,10,9,5,8,56,3,3,6950
45,fourteenth,Travel Rarely,Sales,Sales Executive,Level 2,High,6 to 10,6 to 10,Experienced,1 to 5,Other,Male,Very Close,No,Balanced,"$4,805",0,19,3,561,3,9,8,7,3,7,61,3,2,16177
26,twenteth,Travel Frequently,HR,Human Resources,Level 1,Miduem,6 to 10,0 to 5,Experienced,1 to 5,Life Sciences,Female,Close,Yes,Not Balanced,"$2,741",0,11,2,426,3,8,7,7,1,0,58,3,1,22808
29,twenteth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,High,0 to 5,0 to 5,Experienced,1 to 5,Technical Degree,Male,Close,No,Balanced,"$4,262",4,12,2,232,3,8,3,2,1,2,34,3,2,22645
33,thirteenth,Travel Rarely,Research & Dev.,Research Director,Level 4,Low,6 to 10,0 to 5,Advanced,15 to 20,Medical,Female,Very Close,No,Balanced,"$16,184",4,19,2,922,3,10,6,1,0,5,95,4,4,22578
31,thirteenth,Travel Rarely,Sales,Manager,Level 3,Miduem,0 to 5,0 to 5,Advanced,10 to 15,Life Sciences,Male,Very Close,No,Not Balanced,"$11,557",9,21,3,688,4,10,5,4,0,1,44,2,3,25291
18,twenteth,Travel Frequently,Sales,Sales Representative,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Marketing,Male,Very Close,Yes,Balanced,"$1,878",1,14,3,1306,3,0,0,0,0,0,69,3,1,8059
40,fourteenth,Non-Travel,Sales,Sales Executive,Level 3,Miduem,0 to 5,0 to 5,Expert,10 to 15,Other,Male,Far,No,Balanced,"$10,932",3,15,2,1094,3,20,1,0,0,1,58,1,3,11373
41,fourteenth,Non-Travel,Research & Dev.,Healthcare Representative,Level 2,Low,6 to 10,6 to 10,Advanced,5 to 10,Other,Female,Very Close,Yes,Balanced,"$6,811",2,17,3,509,3,10,8,7,0,7,62,2,2,2112
26,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Far,No,Balanced,"$4,306",5,12,5,775,3,8,0,0,0,0,45,3,2,4267
35,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Female,Very Close,No,Balanced,"$4,859",1,16,3,195,3,5,5,4,0,3,80,3,2,6698
34,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,High,6 to 10,6 to 10,Advanced,5 to 10,Life Sciences,Male,Far,No,Balanced,"$5,337",1,12,3,258,3,10,10,7,5,7,74,4,2,19921
26,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Technical Degree,Male,Far,Yes,Not Balanced,"$2,340",1,18,3,471,3,1,1,0,0,0,66,1,1,23213
37,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 3,Miduem,6 to 10,0 to 5,Advanced,5 to 10,Technical Degree,Female,Very Close,No,Balanced,"$7,491",4,17,3,799,3,12,6,5,1,2,59,3,3,23848
46,fourteenth,Travel Frequently,Research & Dev.,Healthcare Representative,Level 3,Low,0 to 5,0 to 5,Expert,10 to 15,Medical,Female,Close,No,Not Balanced,"$10,527",5,11,3,1034,3,28,2,2,1,2,86,3,3,8984
41,fourteenth,Travel Rarely,Sales,Manager,Level 4,Miduem,11 to 20,6 to 10,Expert,15 to 20,Life Sciences,Female,Very Close,No,Balanced,"$16,595",7,16,2,1276,3,22,18,16,11,8,91,3,4,5626
37,thirteenth,Non-Travel,Sales,Sales Executive,Level 3,Low,6 to 10,6 to 10,Experienced,5 to 10,Medical,Male,Very Close,No,Balanced,"$8,834",1,13,6,142,3,9,9,5,7,7,69,3,3,24666
52,fifteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 2,High,6 to 10,6 to 10,Advanced,5 to 10,Technical Degree,Male,Very Close,Yes,Balanced,"$5,577",3,12,3,956,3,18,10,9,6,9,78,3,2,22087
32,thirteenth,Non-Travel,Sales,Sales Executive,Level 2,High,0 to 5,0 to 5,Experienced,1 to 5,Other,Male,Close,No,Balanced,"$4,707",8,12,2,1474,3,6,4,2,1,2,60,4,2,23914
24,twenteth,Travel Frequently,Sales,Sales Representative,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Medical,Male,Far,No,Balanced,"$2,400",0,13,3,535,3,3,2,2,2,1,38,3,1,5530
38,thirteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 2,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Medical,Female,Very Close,No,Balanced,"$9,824",3,19,4,1495,3,18,1,0,0,0,76,3,2,22174
37,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Miduem,6 to 10,0 to 5,Experienced,5 to 10,Life Sciences,Female,Very Close,No,Not Balanced,"$6,447",6,12,2,446,3,8,6,5,4,3,65,3,2,15701
49,fourteenth,Travel Rarely,Research & Dev.,Research Director,Level 5,High,31 to 40,6 to 10,Expert,15 to 20,Life Sciences,Male,Close,Yes,Balanced,"$19,502",1,17,5,1245,3,31,31,9,0,9,58,2,5,2125
24,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,6 to 10,0 to 5,Experienced,1 to 5,Medical,Male,Far,Yes,Balanced,"$2,725",1,11,3,691,3,6,6,5,1,4,89,4,1,21630
26,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,Low,0 to 5,0 to 5,Experienced,5 to 10,Marketing,Male,Far,No,Balanced,"$6,272",1,20,5,703,4,6,5,3,1,4,66,3,2,7428
24,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Other,Male,Close,No,Balanced,"$2,127",1,21,2,823,4,1,1,0,0,0,94,2,1,9100
50,fifteenth,Travel Frequently,HR,Manager,Level 5,Low,31 to 40,6 to 10,Expert,15 to 20,Medical,Male,Very Close,No,Balanced,"$18,200",1,11,2,1246,3,32,32,5,10,7,99,3,5,7999
25,twenteth,Travel Rarely,Sales,Sales Representative,Level 1,Miduem,6 to 10,6 to 10,Experienced,1 to 5,Medical,Male,Close,No,Balanced,"$2,096",1,11,1,622,3,7,7,4,0,6,40,3,1,26376
24,twenteth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,Low,6 to 10,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,Yes,Balanced,"$2,886",1,16,4,1287,3,6,6,3,1,2,55,3,1,14168
30,thirteenth,Travel Frequently,Sales,Sales Representative,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Close,No,Balanced,"$2,033",1,18,2,448,3,1,1,0,0,0,74,2,1,14470
34,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,6 to 10,0 to 5,Experienced,1 to 5,Life Sciences,Male,Very Close,Yes,Balanced,"$3,622",1,13,3,254,3,6,6,5,1,3,83,2,1,22794
31,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Close,No,Not Balanced,"$4,233",2,17,2,1365,3,9,3,1,1,2,46,3,2,11512
35,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,Low,0 to 5,0 to 5,Experienced,1 to 5,Other,Male,Far,No,Balanced,"$3,681",4,14,3,538,3,9,3,2,0,2,54,2,2,14004
31,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Low,6 to 10,6 to 10,Advanced,5 to 10,Medical,Male,Very Close,No,Balanced,"$5,460",4,22,4,525,4,13,7,7,5,7,66,4,2,6219
27,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Female,Very Close,No,Not Balanced,"$2,187",0,12,5,798,3,6,5,3,0,3,66,2,1,5013
37,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,High,0 to 5,0 to 5,Advanced,5 to 10,Marketing,Male,Very Close,Yes,Not Balanced,"$9,602",4,11,3,558,3,17,3,0,1,0,75,3,2,3010
20,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$2,836",1,13,0,959,3,1,1,0,0,0,83,2,1,11757
42,fourteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 2,Miduem,6 to 10,0 to 5,Advanced,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$4,089",1,13,4,622,3,10,10,2,2,2,81,3,2,5718
43,fourteenth,Travel Rarely,Research & Dev.,Research Director,Level 4,Miduem,0 to 5,0 to 5,Expert,15 to 20,Other,Male,Very Close,Yes,Not Balanced,"$16,627",4,14,3,782,3,21,1,0,0,0,50,2,4,2671
38,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,No,Not Balanced,"$2,619",3,17,3,362,3,8,0,0,0,0,43,3,1,14561
43,fourteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 2,High,6 to 10,6 to 10,Advanced,5 to 10,Medical,Male,Very Close,Yes,Balanced,"$5,679",3,13,3,1001,3,10,8,7,4,7,72,3,2,19627
48,fourteenth,Travel Rarely,Research & Dev.,Manager,Level 4,High,0 to 5,0 to 5,Expert,15 to 20,Life Sciences,Female,Very Close,No,Not Balanced,"$15,402",7,11,3,1236,3,21,3,2,0,2,40,2,4,17997
44,fourteenth,Travel Rarely,HR,Human Resources,Level 2,Low,0 to 5,0 to 5,Advanced,5 to 10,Life Sciences,Female,Very Close,No,Balanced,"$5,985",4,11,1,1112,3,10,2,2,0,2,50,2,2,26894
34,thirteenth,Travel Rarely,Sales,Sales Representative,Level 1,Miduem,6 to 10,6 to 10,Experienced,1 to 5,Technical Degree,Female,Close,Yes,Balanced,"$2,579",1,18,3,204,3,8,8,2,0,6,31,3,1,2912
